row.names,Pop,i,A,LF,LG,SF,SG,CEC,CO3Ca,CS,pH,CdS,CrS,CuS,FeS,MnS,NiS,PbS,ZnS,CdD,CuD,PbD,ZnD,CdN,CuN,ZnN,CdB,CrB,CuB,FeB,MgB,MnB,NiB,PbB,ZnB
ChT5,T, 5,2.379546,2.797281,1.722767, 2.208274 , 4.062166  ,1.667707,-6.907755, 0.009950331,1.94591 ,-1.714798   ,2.054124,2.451005, 0.03922071,7.427739,1.808289,3.895894,3.543854,-3.218876 , 0.6355181 , 0.1897936  , 0.6296748 ,0        ,3.056357,1.609438,-4.135167,-1.214023 ,1.223775 ,3.430756, 0.14842    ,3.819908, 0.3646431  ,-6.907755 ,2.949688
ChT6,T, 6,2.493205,2.844909,2.140066, 2.282382 , 3.958907  ,1.667707,-6.907755,-0.1508229  ,1.856298,-1.771957   ,2.944439,2.351375, 0.3364722 ,7.371489,2.151762,4.185099,3.499533,-2.97593  , 0.372253  , 0.6216512  , 0.2374409 ,1.383791 ,2.843746,4.032824,-3.649659,-0.9263411,1.719189 ,3.433987, 0.1570037  ,4.046554,-0.3566749  ,-6.907755 ,3.135494
ChT7,T, 7,2.442347,2.624669,1.84055 , 2.442347 , 4.041295  ,1.481605,-6.907755,-0.2484614  ,1.686399,-1.108663   ,2.406945,2.292535, 0.604316  ,7.482682,2.219203,3.569533,3.706228,-1.973281 , 0.8109302 , 0.2561914  , 0.9843231 ,4.066631 ,3.687378,7.29764 ,-2.488915,-1.456717 ,1.18479  ,3.38439 , 0.009950331,4.624973, 0.5187938  ,-1.187411 ,3.367296
ChT8,T, 8,2.272126,2.525729,1.481605, 2.104134 , 4.177459  ,1.686399,-6.907755, 0.04879016 ,1.902108,-1.139434   ,2.282382,2.766319, 0.6365768 ,7.259116,2.230014,3.713572,3.966511,-2.764621 , 0.7793249 ,-0.2836901  , 0.6173455 ,0.7654678,3.135059,3.692373,-4.017384,-1.362578 ,1.22083  ,3.332205, 0.14842    ,3.802208, 0.03922071 ,-3.771826 ,3.034953
ChT9,T, 9,2.76001 ,2.370244,1.931521, 2.727853 , 3.937691  ,2.208274,-6.907755, 0.4446858  ,1.902108,-1.07881    ,2.61007 ,2.332144, 0.1739533 ,6.839476,2.370244,3.025291,3.543854,-2.137071 , 0.2806575 , 0.3513608  , 0.7797835 ,0.9895412,3.592369,1.631199,-2.780621,-0.6329933,1.83098  ,3.688879, 0.1397619  ,3.744787, 0.5596158  ,-2.702913 ,3.202746
ChT10,T,10,2.415914,2.424803,1.435085, 2.054124 , 4.18205   ,1.774952,-6.907755,-0.2231436  ,1.856298,-2.040221   ,1.871802,2.174752,-0.4942963 ,6.156979,1.871802,4.046554,4.320151,-2.590267 , 0.3393253 , 1.185401   , 1.132047  ,2.109    ,2.884801,5.798304,-2.733368,-2.353878 ,0.7129498,3.594569, 0.1310283  ,4.10759 ,-0.01005034 ,-6.209621 ,3.526361
ChT11,T,11,2.433613,2.617396,2.174752, 2.4681   , 3.994524  ,1.84055 ,-6.907755,-0.08338161 ,1.871802,-1.714798   ,2.862201,2.821379, 0.2623643 ,7.074963,2.208274,3.317816,3.914021,-2.830218 , 0.8891251 , 0.3681093  , 1.017764  ,0.7323679,3.338967,4.354527,-3.324236,-0.9467499,1.752672 ,3.806662, 0.1222176  ,4.063885, 0.2776317  ,-6.907755 ,3.321432
ChX1,X, 1,3.08191 ,2.785011,2.104134, 2.912351 , 3.566712  ,2.292535,-6.907755, 0.7275486  ,1.902108,-1.07881    ,3.520461,3.583519, 0.9895412 ,7.31854 ,2.906901,3.411148,4.83866 ,-2.551046 , 0.1996702 , 0.14842    , 0.06391333,0.8020016,2.892037,2.958549,-2.937463,-1.594549 ,1.601406 ,3.602777, 0.1133287  ,3.642836,-0.3710637  ,-1.987701 ,2.970414
ChX2,X, 2,3.190476,2.912351,2.379546, 2.827314 , 3.387774  ,2.312535,-6.907755, 0.3852624  ,1.704748,-1.139434   ,4.09601 ,3.94739 , 1.300192  ,6.900731,3.288402,3.754199,5.343291,-2.103734 , 0.686626  , 0.7178398  , 0.2646693 ,3.894063 ,3.314186,6.529579,-2.430418,-2.617296 ,0.9082586,3.505557,-0.1875351  ,4.225373,-0.03045921 ,-2.975734 ,2.99072 
ChX3,X, 3,2.99072 ,2.917771,2.360854, 2.884801 , 3.499533  ,2.433613,-6.907755, 0.662688   ,1.916923,-0.8675006  ,4.077537,5.013298, 1.444563  ,7.733684,3.317816,5.49265 ,5.702448,-2.079442 , 2.014636  , 2.088649   , 0.621114  ,1.512927 ,4.979282,2.896464,-2.918771,-2.244316 ,1.682688 ,3.328627, 0.1397619  ,3.927896,-0.5798185  ,-1.639846 ,3.194583
ChX4,X, 4,3.182212,2.99072 ,2.261763, 2.879198 , 3.353407  ,2.282382,-6.907755, 0.7793249  ,1.629241,-1.237874   ,4.09601 ,3.686376, 1.121678  ,6.863803,3.139833,4.234107,5.499215,-2.748872 , 0.3548733 , 1.298828   , 0.3763795 ,3.57094  ,3.525183,6.916755,-2.645075,-2.009916 ,1.300192 ,3.508556,-0.08664781 ,4.325456, 0.1739533  ,-2.017331 ,3.374169
ChX5,X, 5,2.928524,2.809403,2.580217, 3.303217 , 3.190476  ,2.230014,-6.907755, 0.4510756  ,1.757858,-0.9416085  ,4.082609,4.051785, 1.118415  ,7.366445,3.475067,5.668155,5.149237,-2.087474 , 0.9685036 , 1.646734   , 0.5170065 ,2.844328 ,3.216874,5.370033,-2.796881,-2.024953 ,1.313724 ,3.292126, 0.06765865 ,4.175925,-0.05129329 ,-1.958924 ,3.126761
ChX6,X, 6,3.015535,2.933857,2.572612, 3.044522 , 3.284664  ,2.272126,-6.907755, 0.4946962  ,1.791759,-1.049822   ,4.032469,3.958907, 1.121678  ,7.716906,3.540959,7.487566,4.945919,-2.322788 , 1.013417  , 3.042616   , 0.294161  ,2.426571 ,3.359333,5.117275,-3.411248,-2.813411 ,1.479329 ,3.317816, 0.06765865 ,3.916015,-0.7765288  ,-2.733214 ,3.109061
ChX7,X, 7,3.186353,3.109061,2.557227, 2.850706 , 3.144152  ,2.104134,-6.907755, 0.5364934  ,1.757858,-1.203973   ,4.160444,3.555348, 1.004302  ,6.914731,2.839078,4.213608,4.866765,-2.312635 , 0.486123  , 0.9899129  , 0.6081338 ,2.799109 ,2.973487,5.933306,-2.97593 ,-2.538307 ,1.202972 ,3.404525,-0.02531781 ,4.037774,-0.3424903  ,-2.12018  ,3.131137
