NO2 ;PtC;Trajet;vitesse;Typo;Auto;Com;Dep;GBd;Nat;Periph;Tun;Agglo;GCR;ParisR;PCR;P10PA1H;P2PA1H;N2PA1H;Saison;Période
248;97.76;P Delta (2);31;GC_Paris;25;0;8;21;16;30;7;100;28;51;21;31.2;16.8;31.5;ete;Soir
146.43;66.52;P Delta (3);20;GC_Paris;17;4;0;52;26;0;2;100;33;56;11;23.5;8.5;41;hiver;Matin
196.45;102.53;P Delta (4);25;GC_Paris;26;2;16;48;8;0;4;100;28;58;14;24.9;12.1;50.5;hiver;Soir
133.96;NA;Q Alpha (1);30;Paris_PC;0;0;0;32;36;32;4;100;0;64;36;NA;12.3;45.5;ete;Matin
163.24;104.78;Q Alpha (2);31;Paris_PC;13;0;18;32;2;35;7;100;0;68;32;15.8;8.5;42;ete;Matin
217.2;94.46;Q Alpha (3);12;Paris_PC;0;0;0;47;18;35;3;100;0;82;18;29.2;NA;71;hiver;Soir
136.5;58.51;Q Alpha (4);35;Paris_PC;8;10;16;42;0;23;9;100;0;66;34;9.6;5.7;37.5;hiver;Soir
134.74;95.87;Q Bravo (1);41;PC_GC;58;8;34;0;0;0;0;100;22;0;78;NA;10.8;40.5;ete;Matin
159.04;91.25;Q Bravo (2);37;PC_GC;81;19;0;0;0;0;0;100;15;0;85;16.4;8.7;43;ete;Matin
182.15;100.05;Q Bravo (3);40;PC_GC;53;35;11;0;0;0;0;100;21;0;79;28.4;NA;69.5;hiver;Soir
154.01;61.75;Q Bravo (4);50;PC_GC;48;9;43;0;0;0;0;100;21;0;79;8.6;5;34;hiver;Soir
136.14;88.15;Q Delta (1);66;GC_GC;41;27;0;0;32;0;0;63;84;0;16;15.3;13.3;53.5;ete;Matin
97.33;39.36;Q Delta (2);56;GC_GC;8;24;38;0;30;0;0;59;71;0;29;20.6;9;44;ete;Matin
108.88;46.36;Q Delta (3);35;GC_GC;34;0;66;0;0;0;2;44;100;0;0;23;NA;65;hiver;Soir
94.85;29.58;Q Delta (4);34;GC_GC;42;7;51;0;0;0;5;43;100;0;0;10.6;5.1;39;hiver;Soir
180.11;109.64;Q Echo (1);39;GC_Paris;41;9;0;14;3;34;5;100;16;47;36;19.5;15.9;55;ete;Matin
133.76;81.69;Q Echo (2);53;GC_Paris;46;0;9;24;6;15;4;100;0;39;61;20;8.5;45;ete;Matin
272.42;134.91;Q Echo (3);29;GC_Paris;31;0;4;40;0;25;4;100;9;66;25;24;NA;56.5;hiver;Soir
159.16;70.07;Q Echo (4);32;GC_Paris;26;7;0;67;0;0;4;100;13;67;20;NA;10;36.5;hiver;Soir
97.54;58.08;R Bravo (1);40;PC_GC;22;33;0;0;45;0;0;100;58;0;42;15.4;9;NA;ete;Matin
160.07;68.85;R Bravo (2);42;PC_GC;24;25;0;0;51;0;0;100;63;0;37;26;14.6;46;hiver;Soir
128.02;81.68;R Bravo (3);33;PC_GC;22;25;0;0;53;0;0;100;64;0;36;33.2;29.3;51.5;hiver;Matin
131.77;70.95;R Bravo (4);29;PC_GC;0;65;9;0;26;0;0;100;76;0;24;35.9;14.4;80.5;hiver;Soir
116.72;75.15;R Delta (1);41;GC_PC;52;39;0;0;9;0;0;100;68;0;32;22.6;12.3;NA;ete;Matin
185.34;86.75;R Delta (2);41;GC_PC;79;8;0;0;13;0;0;100;48;0;52;22.3;16.4;39;hiver;Soir
132.19;79.06;R Delta (3);22;GC_PC;0;8;26;0;66;0;2;100;61;0;39;41.6;28.4;52;hiver;Matin
198.04;119.54;R Delta (4);16;GC_PC;0;7;15;0;78;0;3;100;77;0;23;29;12.8;71.5;hiver;Soir
