n°	Del	Doute	Per	P	jour	h	Sexe	Age	A	Occu	Lieu	Bilan	Dev	Dec	Cou
88	Del	1	P2	Pb	650416	NA	M	adu	adu	NA	NA	B	0	0	0
92	Del	1	P3	Pb	650507	NA	M	ado	ado	b	NA	R	0	0	0
93	Del	0	P3	Pb	650511	14	M	ado	ado	b	b	R	0	0	0
102	Del	1	P3	Pb	650610	24	M	ado	ado	b	b	BG	0	0	0
103	Del	0	P3	Pb	650612	9	F	adu	adu	NA	b	R	0	0	0
110	Del	0	P3	Pb	650704	8	M	ado	ado	NA	NA	R	0	0	0
112	Del	0	P3	Pb	650704	14	F	ado	ado	NA	NA	R	0	0	0
113	Del	0	P3	Pb	650710	NA	F	adu	adu	NA	r	R	0	0	0
114	Del	0	P3	Pb	650717	NA	F	enf	enf	b	NA	R	0	0	0
116	Del	1	P3	Pb	650727	6	F	enf	enf	NA	NA	R	0	0	0
121	Del	0	P3	Pb	650809	20	M	16	ado	NA	NA	R	0	0	0
122	Del	0	P3	Pb	650809	20	F	11	enf	NA	NA	R	0	0	0
123	Del	0	P3	Pb	650811	10	F	20	ado	NA	NA	R	0	0	0
126	Del	1	P4	Pa	650906	NA	F	18	ado	NA	NA	R	0	0	0
131	Del	1	P4	Pa	650913	NA	F	ado	ado	NA	NA	M	1	0	0
140	Del	0	P5	Pa	660101	NA	M	29	adu	NA	NA	R	0	0	0
141	Del	0	P5	Pa	660212	NA	M	enf	enf	b	NA	R	0	0	0
146	Del	0	P5	Pa	660320	NA	M	adu	adu	NA	NA	R	0	0	0
154	Del	1	P5	Pa	660615	NA	F	adu	adu	NA	NA	M	1	0	0
155	Del	1	P5	Pa	660630	NA	F	enf	enf	NA	NA	B	0	0	0
157	Del	1	P5	Pa	660715	NA	M	15	ado	b	NA	M	1	0	1
158	Del	0	P5	Pa	660729	NA	F	NA	NA	NA	v	R	0	0	0
159	Del	0	P5	Pa	660731	NA	F	42	adu	NA	NA	R	0	0	0
161	Del	0	P5	Pa	660812	NA	M	adu	adu	NA	c	R	0	0	0
170	Del	0	P5	Pa	660930	NA	M	22	adu	NA	p	R	0	0	0
171	Del	1	P5	Pa	661010	NA	M	adu	adu	NA	r	B	0	0	0
177	Del	0	P6	Pa	670329	NA	M	48	adu	NA	NA	R	0	0	0
183	Del	0	P6	Pa	670420	NA	M	50	adu	NA	b	R	0	0	0
184	Del	1	P6	Pa	670422	NA	M	8	enf	NA	NA	BG	0	0	0
185	Del	1	P6	Pa	670429	NA	F	ado	ado	NA	NA	M	1	0	0
200	Del	0	P6	Pa	670528	NA	M	ado	ado	NA	NA	R	0	0	0
202	Del	0	P6	Pa	670601	NA	M	32	adu	NA	NA	R	0	0	0
203	Del	0	P6	Pa	670605	NA	M	adu	adu	NA	NA	R	0	0	0
204	Del	0	P6	Pa	670605	NA	M	NA	NA	NA	NA	R	0	0	0
205	Del	0	P6	Pa	670606	NA	M	14	ado	NA	b	R	0	0	0
207	Del	1	P6	Pa	670616	NA	M	enf	enf	b	NA	M	0	0	0

